rank	selection_reason	char	display_sample	codepoint	name	category	script	block	age	emoji	requires_base	standalone_safe	windows_font_covered	shape_hints
1834	形态词命中	Ħ	Ħ	U+0126	LATIN CAPITAL LETTER H WITH STROKE	Lu	Latin	Latin Extended-A	1.1	false	false	true	true	线
1835	形态词命中	Ĩ	Ĩ	U+0128	LATIN CAPITAL LETTER I WITH TILDE	Lu	Latin	Latin Extended-A	1.1	false	false	true	true	线
1836	形态词命中	İ	İ	U+0130	LATIN CAPITAL LETTER I WITH DOT ABOVE	Lu	Latin	Latin Extended-A	1.1	false	false	true	true	点
1837	形态词命中	Ŀ	Ŀ	U+013F	LATIN CAPITAL LETTER L WITH MIDDLE DOT	Lu	Latin	Latin Extended-A	1.1	false	false	true	true	点
1838	形态词命中	Ł	Ł	U+0141	LATIN CAPITAL LETTER L WITH STROKE	Lu	Latin	Latin Extended-A	1.1	false	false	true	true	线
1839	形态词命中	Ő	Ő	U+0150	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE	Lu	Latin	Latin Extended-A	1.1	false	false	true	true	对称
1840	形态词命中	Ŧ	Ŧ	U+0166	LATIN CAPITAL LETTER T WITH STROKE	Lu	Latin	Latin Extended-A	1.1	false	false	true	true	线
1841	形态词命中	Ũ	Ũ	U+0168	LATIN CAPITAL LETTER U WITH TILDE	Lu	Latin	Latin Extended-A	1.1	false	false	true	true	线
1842	形态词命中	Ů	Ů	U+016E	LATIN CAPITAL LETTER U WITH RING ABOVE	Lu	Latin	Latin Extended-A	1.1	false	false	true	true	圆
1843	形态词命中	Ű	Ű	U+0170	LATIN CAPITAL LETTER U WITH DOUBLE ACUTE	Lu	Latin	Latin Extended-A	1.1	false	false	true	true	对称
1844	形态词命中	Ż	Ż	U+017B	LATIN CAPITAL LETTER Z WITH DOT ABOVE	Lu	Latin	Latin Extended-A	1.1	false	false	true	true	点
1845	形态词命中	Ɓ	Ɓ	U+0181	LATIN CAPITAL LETTER B WITH HOOK	Lu	Latin	Latin Extended-B	1.1	false	false	true	true	曲线
1846	形态词命中	Ƃ	Ƃ	U+0182	LATIN CAPITAL LETTER B WITH TOPBAR	Lu	Latin	Latin Extended-B	1.1	false	false	true	true	线
1847	形态词命中	Ƈ	Ƈ	U+0187	LATIN CAPITAL LETTER C WITH HOOK	Lu	Latin	Latin Extended-B	1.1	false	false	true	true	曲线
1848	形态词命中	Ɗ	Ɗ	U+018A	LATIN CAPITAL LETTER D WITH HOOK	Lu	Latin	Latin Extended-B	1.1	false	false	true	true	曲线
1849	形态词命中	Ƌ	Ƌ	U+018B	LATIN CAPITAL LETTER D WITH TOPBAR	Lu	Latin	Latin Extended-B	1.1	false	false	true	true	线
1850	形态词命中	Ƒ	Ƒ	U+0191	LATIN CAPITAL LETTER F WITH HOOK	Lu	Latin	Latin Extended-B	1.1	false	false	true	true	曲线
1851	形态词命中	Ɠ	Ɠ	U+0193	LATIN CAPITAL LETTER G WITH HOOK	Lu	Latin	Latin Extended-B	1.1	false	false	true	true	曲线
1852	形态词命中	Ɨ	Ɨ	U+0197	LATIN CAPITAL LETTER I WITH STROKE	Lu	Latin	Latin Extended-B	1.1	false	false	true	true	线
1853	形态词命中	Ƙ	Ƙ	U+0198	LATIN CAPITAL LETTER K WITH HOOK	Lu	Latin	Latin Extended-B	1.1	false	false	true	true	曲线
1854	形态词命中	Ɵ	Ɵ	U+019F	LATIN CAPITAL LETTER O WITH MIDDLE TILDE	Lu	Latin	Latin Extended-B	1.1	false	false	true	true	线
1855	形态词命中	Ƥ	Ƥ	U+01A4	LATIN CAPITAL LETTER P WITH HOOK	Lu	Latin	Latin Extended-B	1.1	false	false	true	true	曲线
1856	形态词命中	Ƭ	Ƭ	U+01AC	LATIN CAPITAL LETTER T WITH HOOK	Lu	Latin	Latin Extended-B	1.1	false	false	true	true	曲线
1857	形态词命中	Ʈ	Ʈ	U+01AE	LATIN CAPITAL LETTER T WITH RETROFLEX HOOK	Lu	Latin	Latin Extended-B	1.1	false	false	true	true	曲线
1858	形态词命中	Ʊ	Ʊ	U+01B1	LATIN CAPITAL LETTER UPSILON	Lu	Latin	Latin Extended-B	1.1	false	false	true	true	方向
1859	形态词命中	Ʋ	Ʋ	U+01B2	LATIN CAPITAL LETTER V WITH HOOK	Lu	Latin	Latin Extended-B	1.1	false	false	true	true	曲线
1860	形态词命中	Ƴ	Ƴ	U+01B3	LATIN CAPITAL LETTER Y WITH HOOK	Lu	Latin	Latin Extended-B	1.1	false	false	true	true	曲线
