char	codepoint	unicode_name	gardiner	prefix	visual_cluster	main_key	main_shape	preferred_state_key	state_cluster	state_key	state_shape	input_code	classification_reason	rebalanced	cluster_distance	aspect	density	components	largest_hole_ratio	vertical_symmetry	horizontal_symmetry	source	status	algorithm
𓄄	U+13104	EGYPTIAN HIEROGLYPH F006	F006	jj	8	m	复合	s	4	s	对称	jjms	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C8→m;族内视觉组S4;组状态首选s;采用首选→s	false	0.551780	0.9271	0.1170	2	0.1709	0.8148	0.7963	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄅	U+13105	EGYPTIAN HIEROGLYPH F007	F007	jj	2	y	分叉翼形	s	5	x	穿过交叠	jjyx	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C2→y;族内视觉组S5;组状态首选s;唯一键平衡→x	true	0.547239	1.2687	0.1059	2	0.1461	0.8673	0.8135	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄆	U+13106	EGYPTIAN HIEROGLYPH F008	F008	jj	12	k	绳结	s	5	o	外包	jjko	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C12→k;族内视觉组S5;组状态首选s;唯一键平衡→o	true	0.615869	0.9659	0.1251	2	0.1358	0.8460	0.8096	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄇	U+13107	EGYPTIAN HIEROGLYPH F009	F009	jj	20	e	椭圆	i	4	i	内含	jjei	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C20→e;族内视觉组S4;组状态首选i;采用首选→i	false	0.468294	0.8000	0.1129	2	0.2398	0.8070	0.8305	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄈	U+13108	EGYPTIAN HIEROGLYPH F010	F010	jj	3	i	细柱	s	0	o	外包	jjio	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C3→i;族内视觉组S0;组状态首选s;唯一键平衡→o	true	0.303878	0.5312	0.1254	2	0.0764	0.8848	0.7843	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄉	U+13109	EGYPTIAN HIEROGLYPH F011	F011	jj	23	h	枝杈	s	1	o	外包	jjho	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C23→h;族内视觉组S1;组状态首选s;唯一键平衡→o	true	0.336028	0.5625	0.1254	1	0.1159	0.7924	0.8056	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄊	U+1310A	EGYPTIAN HIEROGLYPH F012	F012	jj	16	d	点状	s	0	s	对称	jjds	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C16→d;族内视觉组S0;组状态首选s;采用首选→s	false	0.208839	0.4896	0.1033	1	0.0527	0.8302	0.8502	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄋	U+1310B	EGYPTIAN HIEROGLYPH F013	F013	jj	17	j	钩弯	s	4	s	对称	jjjs	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C17→j;族内视觉组S4;组状态首选s;采用首选→s	false	0.448415	1.4615	0.1012	1	0.0680	0.9841	0.8241	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄌	U+1310C	EGYPTIAN HIEROGLYPH F013A	F013a	jj	17	j	钩弯	s	4	s	对称	jjjs	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C17→j;族内视觉组S4;组状态首选s;采用首选→s	false	0.336830	1.7647	0.1072	1	0.0680	0.9826	0.8126	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄍	U+1310D	EGYPTIAN HIEROGLYPH F014	F014	jj	2	y	分叉翼形	s	0	s	对称	jjys	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C2→y;族内视觉组S0;组状态首选s;采用首选→s	false	0.482237	0.9792	0.1051	2	0.0459	0.9251	0.8551	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄎	U+1310E	EGYPTIAN HIEROGLYPH F015	F015	jj	2	y	分叉翼形	s	0	s	对称	jjys	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C2→y;族内视觉组S0;组状态首选s;采用首选→s	false	0.468549	1.0417	0.1094	1	0.0577	0.9579	0.8150	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄏	U+1310F	EGYPTIAN HIEROGLYPH F016	F016	jj	17	j	钩弯	s	0	q	倾斜	jjjq	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C17→j;族内视觉组S0;组状态首选s;唯一键平衡→q	true	0.262100	1.7119	0.0772	1	0.1015	0.8533	0.8520	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄐	U+13110	EGYPTIAN HIEROGLYPH F017	F017	jj	19	a	角折	s	0	w	宽展	jjaw	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C19→a;族内视觉组S0;组状态首选s;唯一键平衡→w	true	0.570413	1.5303	0.1253	1	0.0756	0.7912	0.8017	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄑	U+13111	EGYPTIAN HIEROGLYPH F018	F018	jj	11	w	波浪流线	s	0	s	对称	jjws	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C11→w;族内视觉组S0;组状态首选s;采用首选→s	false	0.249219	2.7297	0.1156	1	0.1528	0.8898	0.7800	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄒	U+13112	EGYPTIAN HIEROGLYPH F019	F019	jj	11	w	波浪流线	s	3	e	空心低填充	jjwe	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C11→w;族内视觉组S3;组状态首选s;唯一键平衡→e	true	0.351978	1.9804	0.1143	1	0.1491	0.8319	0.7942	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄓	U+13113	EGYPTIAN HIEROGLYPH F020	F020	jj	17	j	钩弯	s	1	e	空心低填充	jjje	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C17→j;族内视觉组S1;组状态首选s;唯一键平衡→e	true	0.375549	1.2625	0.0611	1	0.0000	0.9191	0.8876	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄔	U+13114	EGYPTIAN HIEROGLYPH F021	F021	jj	13	v	开口V形	i	2	i	内含	jjvi	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C13→v;族内视觉组S2;组状态首选i;采用首选→i	false	0.654057	1.2727	0.1117	1	0.2335	0.8026	0.8042	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄕	U+13115	EGYPTIAN HIEROGLYPH F021A	F021a	jj	13	v	开口V形	i	2	i	内含	jjvi	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C13→v;族内视觉组S2;组状态首选i;采用首选→i	false	0.706923	1.2963	0.1249	1	0.2138	0.8042	0.7852	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄖	U+13116	EGYPTIAN HIEROGLYPH F022	F022	jj	5	g	动物有机体	s	6	w	宽展	jjgw	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C5→g;族内视觉组S6;组状态首选s;唯一键平衡→w	true	0.710022	1.2581	0.1466	1	0.1967	0.7945	0.7746	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄗	U+13117	EGYPTIAN HIEROGLYPH F023	F023	jj	4	n	成列成排	s	2	w	宽展	jjnw	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C4→n;族内视觉组S2;组状态首选s;唯一键平衡→w	true	0.269899	2.4634	0.1323	1	0.1978	0.7909	0.7769	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄘	U+13118	EGYPTIAN HIEROGLYPH F024	F024	jj	1	l	线条	h	3	w	宽展	jjlw	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C1→l;族内视觉组S3;组状态首选h;唯一键平衡→w	true	0.255477	2.4634	0.1335	1	0.1983	0.7894	0.7745	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄙	U+13119	EGYPTIAN HIEROGLYPH F025	F025	jj	16	d	点状	s	0	s	对称	jjds	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C16→d;族内视觉组S0;组状态首选s;采用首选→s	false	0.151760	0.4167	0.1187	1	0.1388	0.8104	0.8542	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄚	U+1311A	EGYPTIAN HIEROGLYPH F026	F026	jj	5	g	动物有机体	i	5	o	外包	jjgo	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C5→g;族内视觉组S5;组状态首选i;唯一键平衡→o	true	0.530930	1.3836	0.1428	1	0.2238	0.7697	0.7841	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄛	U+1311B	EGYPTIAN HIEROGLYPH F027	F027	jj	18	p	螺旋回环	s	4	x	穿过交叠	jjpx	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C18→p;族内视觉组S4;组状态首选s;唯一键平衡→x	true	0.323656	0.5312	0.1179	1	0.1518	0.8276	0.8150	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄜	U+1311C	EGYPTIAN HIEROGLYPH F028	F028	jj	3	i	细柱	s	0	o	外包	jjio	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C3→i;族内视觉组S0;组状态首选s;唯一键平衡→o	true	0.195541	0.5000	0.1230	1	0.1556	0.9648	0.8173	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄝	U+1311D	EGYPTIAN HIEROGLYPH F029	F029	jj	3	i	细柱	s	0	o	外包	jjio	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C3→i;族内视觉组S0;组状态首选s;唯一键平衡→o	true	0.271421	0.8854	0.0864	1	0.0880	0.9760	0.8630	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄞	U+1311E	EGYPTIAN HIEROGLYPH F030	F030	jj	17	j	钩弯	s	1	e	空心低填充	jjje	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C17→j;族内视觉组S1;组状态首选s;唯一键平衡→e	true	0.362202	1.4028	0.1053	1	0.0949	0.8564	0.8179	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄟	U+1311F	EGYPTIAN HIEROGLYPH F031	F031	jj	23	h	枝杈	p	3	p	成对	jjhp	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C23→h;族内视觉组S3;组状态首选p;采用首选→p	false	0.422238	0.5729	0.1559	2	0.0000	0.9492	0.8231	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄠	U+13120	EGYPTIAN HIEROGLYPH F031A	F031a	jj	3	i	细柱	s	1	s	对称	jjis	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C3→i;族内视觉组S1;组状态首选s;采用首选→s	false	0.491386	0.4167	0.2549	1	0.0000	0.9943	0.7818	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄡	U+13121	EGYPTIAN HIEROGLYPH F032	F032	jj	1	l	线条	h	1	h	横向	jjlh	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C1→l;族内视觉组S1;组状态首选h;采用首选→h	false	0.184338	3.1562	0.1723	1	0.1182	0.8373	0.9041	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄢	U+13122	EGYPTIAN HIEROGLYPH F033	F033	jj	17	j	钩弯	s	0	q	倾斜	jjjq	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C17→j;族内视觉组S0;组状态首选s;唯一键平衡→q	true	0.251817	1.5303	0.0546	1	0.0651	0.8980	0.8968	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄣	U+13123	EGYPTIAN HIEROGLYPH F034	F034	jj	20	e	椭圆	i	3	c	闭合	jjec	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C20→e;族内视觉组S3;组状态首选i;唯一键平衡→c	true	0.853650	1.0508	0.1102	1	0.3086	0.9623	0.8573	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄤	U+13124	EGYPTIAN HIEROGLYPH F035	F035	jj	24	c	曲弧	s	2	s	对称	jjcs	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C24→c;族内视觉组S2;组状态首选s;采用首选→s	false	0.234626	0.4479	0.1538	2	0.1686	0.9627	0.7670	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄥	U+13125	EGYPTIAN HIEROGLYPH F036	F036	jj	3	i	细柱	s	1	s	对称	jjis	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C3→i;族内视觉组S1;组状态首选s;采用首选→s	false	0.238713	0.4688	0.1681	1	0.0653	0.9773	0.7491	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄦	U+13126	EGYPTIAN HIEROGLYPH F037	F037	jj	19	a	角折	s	2	s	对称	jjas	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C19→a;族内视觉组S2;组状态首选s;采用首选→s	false	0.454492	1.5781	0.1422	1	0.0097	0.8035	0.7584	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄧	U+13127	EGYPTIAN HIEROGLYPH F037A	F037a	jj	19	a	角折	q	1	q	倾斜	jjaq	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C19→a;族内视觉组S1;组状态首选q;采用首选→q	false	0.506846	1.6290	0.1009	1	0.0000	0.8237	0.8237	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄨	U+13128	EGYPTIAN HIEROGLYPH F038	F038	jj	5	g	动物有机体	s	6	w	宽展	jjgw	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C5→g;族内视觉组S6;组状态首选s;唯一键平衡→w	true	0.968351	1.3276	0.1899	1	0.0210	0.7622	0.6982	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄩	U+13129	EGYPTIAN HIEROGLYPH F038A	F038a	jj	7	r	放射星芒	s	0	x	穿过交叠	jjrx	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C7→r;族内视觉组S0;组状态首选s;唯一键平衡→x	true	0.865945	1.1500	0.1910	1	0.0302	0.7266	0.9136	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄪	U+1312A	EGYPTIAN HIEROGLYPH F039	F039	jj	18	p	螺旋回环	s	4	x	穿过交叠	jjpx	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C18→p;族内视觉组S4;组状态首选s;唯一键平衡→x	true	0.881826	1.0625	0.1412	1	0.0381	0.7894	0.7500	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄫	U+1312B	EGYPTIAN HIEROGLYPH F040	F040	jj	13	v	开口V形	s	0	s	对称	jjvs	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C13→v;族内视觉组S0;组状态首选s;采用首选→s	false	0.566905	1.1222	0.1281	1	0.0299	0.8990	0.7694	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄬	U+1312C	EGYPTIAN HIEROGLYPH F041	F041	jj	5	g	动物有机体	s	1	s	对称	jjgs	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C5→g;族内视觉组S1;组状态首选s;采用首选→s	false	1.104916	1.2222	0.2107	1	0.0528	0.9777	0.6747	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄭	U+1312D	EGYPTIAN HIEROGLYPH F042	F042	jj	19	a	角折	s	0	w	宽展	jjaw	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C19→a;族内视觉组S0;组状态首选s;唯一键平衡→w	true	0.199687	2.7297	0.1327	1	0.1196	0.8095	0.7811	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄮	U+1312E	EGYPTIAN HIEROGLYPH F043	F043	jj	0	x	交叉	s	0	o	外包	jjxo	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C0→x;族内视觉组S0;组状态首选s;唯一键平衡→o	true	2.066568	1.1961	0.2584	1	0.1430	0.7949	0.6348	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄯	U+1312F	EGYPTIAN HIEROGLYPH F044	F044	jj	17	j	钩弯	s	3	c	闭合	jjjc	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C17→j;族内视觉组S3;组状态首选s;唯一键平衡→c	true	0.267377	1.9804	0.1472	1	0.1359	0.7461	0.7453	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄰	U+13130	EGYPTIAN HIEROGLYPH F045	F045	jj	3	i	细柱	s	0	o	外包	jjio	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C3→i;族内视觉组S0;组状态首选s;唯一键平衡→o	true	0.288769	0.6354	0.1014	1	0.0000	0.9986	0.8757	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄱	U+13131	EGYPTIAN HIEROGLYPH F045A	F045a	jj	3	i	细柱	s	0	o	外包	jjio	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C3→i;族内视觉组S0;组状态首选s;唯一键平衡→o	true	0.246580	0.6458	0.0907	1	0.0000	0.9980	0.9032	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄲	U+13132	EGYPTIAN HIEROGLYPH F046	F046	jj	4	n	成列成排	s	3	s	对称	jjns	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C4→n;族内视觉组S3;组状态首选s;采用首选→s	false	0.393504	2.8857	0.2563	1	0.0000	0.9355	0.9378	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄳	U+13133	EGYPTIAN HIEROGLYPH F046A	F046a	jj	4	n	成列成排	s	3	s	对称	jjns	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C4→n;族内视觉组S3;组状态首选s;采用首选→s	false	0.394707	2.8857	0.2566	1	0.0000	0.9304	0.9327	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄴	U+13134	EGYPTIAN HIEROGLYPH F047	F047	jj	4	n	成列成排	s	3	s	对称	jjns	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C4→n;族内视觉组S3;组状态首选s;采用首选→s	false	0.396532	2.8857	0.2563	1	0.0000	0.9355	0.9378	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄵	U+13135	EGYPTIAN HIEROGLYPH F047A	F047a	jj	4	n	成列成排	s	3	s	对称	jjns	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C4→n;族内视觉组S3;组状态首选s;采用首选→s	false	0.396657	2.8857	0.2566	1	0.0000	0.9304	0.9327	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄶	U+13136	EGYPTIAN HIEROGLYPH F048	F048	jj	11	w	波浪流线	s	0	s	对称	jjws	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C11→w;族内视觉组S0;组状态首选s;采用首选→s	false	0.560999	2.7297	0.2473	1	0.0000	0.9486	0.9079	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄷	U+13137	EGYPTIAN HIEROGLYPH F049	F049	jj	11	w	波浪流线	s	0	s	对称	jjws	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C11→w;族内视觉组S0;组状态首选s;采用首选→s	false	0.553780	2.7297	0.2478	1	0.0000	0.9486	0.9079	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄸	U+13138	EGYPTIAN HIEROGLYPH F050	F050	jj	4	n	成列成排	s	3	s	对称	jjns	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C4→n;族内视觉组S3;组状态首选s;采用首选→s	false	0.788171	1.0521	0.1474	1	0.0491	0.9505	0.9412	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄹	U+13139	EGYPTIAN HIEROGLYPH F051	F051	jj	17	j	钩弯	i	2	i	内含	jjji	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C17→j;族内视觉组S2;组状态首选i;采用首选→i	false	0.962912	1.0000	0.0977	1	0.2422	0.8185	0.8178	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄺	U+1313A	EGYPTIAN HIEROGLYPH F051A	F051a	jj	1	l	线条	h	3	w	宽展	jjlw	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C1→l;族内视觉组S3;组状态首选h;唯一键平衡→w	true	0.183952	2.3529	0.1126	3	0.0993	0.8016	0.7987	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄻	U+1313B	EGYPTIAN HIEROGLYPH F051B	F051b	jj	10	t	三角尖形	s	1	c	闭合	jjtc	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C10→t;族内视觉组S1;组状态首选s;唯一键平衡→c	true	0.216701	0.5104	0.1237	3	0.1052	0.7891	0.7925	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄼	U+1313C	EGYPTIAN HIEROGLYPH F051C	F051c	jj	17	j	钩弯	s	5	o	外包	jjjo	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C17→j;族内视觉组S5;组状态首选s;唯一键平衡→o	true	0.931759	1.0000	0.0953	1	0.2430	0.8247	0.8255	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄽	U+1313D	EGYPTIAN HIEROGLYPH F052	F052	jj	20	e	椭圆	s	1	e	空心低填充	jjee	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C20→e;族内视觉组S1;组状态首选s;唯一键平衡→e	true	0.718788	0.9000	0.1105	1	0.2423	0.8086	0.7975	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄾	U+1313E	EGYPTIAN HIEROGLYPH F053	F053	jj	18	p	螺旋回环	s	4	x	穿过交叠	jjpx	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C18→p;族内视觉组S4;组状态首选s;唯一键平衡→x	true	0.394384	0.6875	0.1083	1	0.0627	0.8453	0.8226	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓄿	U+1313F	EGYPTIAN HIEROGLYPH G001	G001	jj	7	r	放射星芒	s	4	o	外包	jjro	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C7→r;族内视觉组S4;组状态首选s;唯一键平衡→o	true	0.475724	1.0000	0.1174	2	0.1633	0.8203	0.8008	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓅀	U+13140	EGYPTIAN HIEROGLYPH G002	G002	jj	7	r	放射星芒	s	2	i	内含	jjri	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C7→r;族内视觉组S2;组状态首选s;唯一键平衡→i	true	0.532008	1.0521	0.1430	1	0.1396	0.7892	0.7750	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓅁	U+13141	EGYPTIAN HIEROGLYPH G003	G003	jj	7	r	放射星芒	s	4	o	外包	jjro	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C7→r;族内视觉组S4;组状态首选s;唯一键平衡→o	true	0.515274	1.0000	0.1510	2	0.1646	0.7669	0.7639	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓅂	U+13142	EGYPTIAN HIEROGLYPH G004	G004	jj	7	r	放射星芒	s	4	o	外包	jjro	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C7→r;族内视觉组S4;组状态首选s;唯一键平衡→o	true	0.466053	1.0000	0.1156	2	0.1648	0.8201	0.8027	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
