char	codepoint	unicode_name	category	block	prefix	visual_cluster	main_key	main_shape	preferred_state_key	state_cluster	state_key	state_shape	input_code	classification_reason	rebalanced	cluster_distance	aspect	density	source	status	algorithm
ப	U+0BAA	TAMIL LETTER PA	Lo	tamil	pi	1	l	线条	s	1	s	对称	pils	tamil视觉聚类C1;状态组S1	false	0.536851	1.4314	0.1998	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ம	U+0BAE	TAMIL LETTER MA	Lo	tamil	pi	1	l	线条	s	1	s	对称	pils	tamil视觉聚类C1;状态组S1	false	0.384491	1.5283	0.2593	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ய	U+0BAF	TAMIL LETTER YA	Lo	tamil	pi	9	o	圆环	s	0	s	对称	pios	tamil视觉聚类C9;状态组S0	false	0.349912	1.6538	0.2220	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ர	U+0BB0	TAMIL LETTER RA	Lo	tamil	pi	2	y	分叉翼形	s	1	s	对称	piys	tamil视觉聚类C2;状态组S1	false	0.567024	0.9254	0.2037	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ற	U+0BB1	TAMIL LETTER RRA	Lo	tamil	pi	1	l	线条	s	0	o	外包	pilo	tamil视觉聚类C1;状态组S0	true	0.475446	1.1014	0.2428	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ல	U+0BB2	TAMIL LETTER LA	Lo	tamil	pi	4	n	成列成排	s	1	s	对称	pins	tamil视觉聚类C4;状态组S1	false	0.264085	1.5556	0.2670	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ள	U+0BB3	TAMIL LETTER LLA	Lo	tamil	pi	8	m	复合	s	0	s	对称	pims	tamil视觉聚类C8;状态组S0	false	0.219587	1.6667	0.2652	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ழ	U+0BB4	TAMIL LETTER LLLA	Lo	tamil	pi	1	l	线条	s	0	o	外包	pilo	tamil视觉聚类C1;状态组S0	true	0.573503	1.1571	0.2582	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
வ	U+0BB5	TAMIL LETTER VA	Lo	tamil	pi	4	n	成列成排	s	1	s	对称	pins	tamil视觉聚类C4;状态组S1	false	0.274041	1.5926	0.2748	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
ஶ	U+0BB6	TAMIL LETTER SHA	Lo	tamil	pi	3	i	细柱	s	1	s	对称	piis	tamil视觉聚类C3;状态组S1	false	0.357857	1.9615	0.2547	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
