char	codepoint	unicode_name	category	block	prefix	visual_cluster	main_key	main_shape	preferred_state_key	state_cluster	state_key	state_shape	input_code	classification_reason	rebalanced	cluster_distance	aspect	density	source	status	algorithm
𒈛	U+1221B	CUNEIFORM SIGN LUH	Lo	cuneiform	mn	0	x	交叉	s	2	o	外包	mnxo	cuneiform视觉聚类C0;状态组S2	true	1.025903	1.3030	0.2704	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈜	U+1221C	CUNEIFORM SIGN LUL	Lo	cuneiform	mn	5	g	动物有机体	s	2	w	宽展	mngw	cuneiform视觉聚类C5;状态组S2	true	0.347396	1.4000	0.1666	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈝	U+1221D	CUNEIFORM SIGN LUM	Lo	cuneiform	mn	2	y	分叉翼形	s	2	h	横向	mnyh	cuneiform视觉聚类C2;状态组S2	true	0.141348	2.4583	0.2250	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈞	U+1221E	CUNEIFORM SIGN LUM OVER LUM	Lo	cuneiform	mn	12	k	绳结	s	2	x	穿过交叠	mnkx	cuneiform视觉聚类C12;状态组S2	true	0.321892	1.5172	0.2541	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈟	U+1221F	CUNEIFORM SIGN LUM OVER LUM GAR OVER GAR	Lo	cuneiform	mn	12	k	绳结	s	2	x	穿过交叠	mnkx	cuneiform视觉聚类C12;状态组S2	true	0.484187	1.7300	0.2469	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈠	U+12220	CUNEIFORM SIGN MA	Lo	cuneiform	mn	21	b	块面	s	0	w	宽展	mnbw	cuneiform视觉聚类C21;状态组S0	true	0.292700	1.5217	0.2101	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈡	U+12221	CUNEIFORM SIGN MA TIMES TAK4	Lo	cuneiform	mn	21	b	块面	s	0	w	宽展	mnbw	cuneiform视觉聚类C21;状态组S0	true	0.289402	1.5217	0.2552	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈢	U+12222	CUNEIFORM SIGN MA GUNU	Lo	cuneiform	mn	21	b	块面	s	0	w	宽展	mnbw	cuneiform视觉聚类C21;状态组S0	true	0.325094	1.5217	0.2685	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈣	U+12223	CUNEIFORM SIGN MA2	Lo	cuneiform	mn	13	v	开口V形	s	2	g	缺口开放	mnvg	cuneiform视觉聚类C13;状态组S2	true	1.514265	1.0633	0.2147	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈤	U+12224	CUNEIFORM SIGN MAH	Lo	cuneiform	mn	13	v	开口V形	s	1	w	宽展	mnvw	cuneiform视觉聚类C13;状态组S1	true	0.686597	1.6163	0.1422	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈥	U+12225	CUNEIFORM SIGN MAR	Lo	cuneiform	mn	5	g	动物有机体	s	2	w	宽展	mngw	cuneiform视觉聚类C5;状态组S2	true	0.366984	1.6429	0.2036	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈦	U+12226	CUNEIFORM SIGN MASH	Lo	cuneiform	mn	10	t	三角尖形	s	1	s	对称	mnts	cuneiform视觉聚类C10;状态组S1	false	0.676009	1.1857	0.1260	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈧	U+12227	CUNEIFORM SIGN MASH2	Lo	cuneiform	mn	6	z	阶梯锯齿	s	1	o	外包	mnzo	cuneiform视觉聚类C6;状态组S1	true	0.328447	1.7532	0.1560	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈨	U+12228	CUNEIFORM SIGN ME	Lo	cuneiform	mn	8	m	复合	s	2	x	穿过交叠	mnmx	cuneiform视觉聚类C8;状态组S2	true	1.007294	0.9857	0.1300	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈩	U+12229	CUNEIFORM SIGN MES	Lo	cuneiform	mn	24	c	曲弧	s	2	x	穿过交叠	mncx	cuneiform视觉聚类C24;状态组S2	true	0.390905	1.5658	0.2956	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
𒈪	U+1222A	CUNEIFORM SIGN MI	Lo	cuneiform	mn	15	u	容器U形	s	0	s	对称	mnus	cuneiform视觉聚类C15;状态组S0	false	0.432082	1.9583	0.3007	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-01-Supplementary Multilingual Plane/block-u12000-u123ff-cuneiform.md	machine-initial-v1	visual-balanced-unicode-block-v1
